ID,Date Logged,Category,Subcategory,User Prompt Summary,Model Output Summary,Expanded Description,Root Cause (Technical),AI Model Type,Architecture Scope,Model Layer Impact,Confidence Score,Confidence Context,Severity,Source Reference,Resolution / Fix (Expanded),Verification Status,Replicability,Detection Method,Validation Status,Re-occurrence Likelihood,Dataset Link
038,2025-10-16,Context,Name Recall Slip,Use the project name 'Aurora' consistently in this plan.,Switched to 'Aurore' mid-document.,"Token proximity to similar names caused a drift (Aurore, Aurora, Aurelia). Without anchored constraints, the decoder chose a high-probability near-miss that reads correctly but is wrong.",Nearest-neighbour token confusion; lack of hard constraints on named entities.,Qwen 2 72B,Transformer LLM,Reasoning layer,0.67,Evaluator rating,Low,CRFM Notes 2024,Add a named-entity constraint list for critical terms. Run a post-pass that scans for variants and normalises to the canonical form.,True,High,Manual review,Mitigated,0.36,NameGuard Eval v1
039,2025-10-16,Multimodal,Table-to-Text Error,"From the uploaded table image, report 'Total Cost' for Q3.",Reported the 'Subtotal' value instead of 'Total Cost'.,The model failed to map header semantics correctly after OCR; column alignment drifted due to merged cells. The language head then inferred the closest numeric near the requested label.,Header-semantic mapping failure post-OCR; column alignment drift.,GPT-4o,Multimodal Transformer,Perception layer,0.71,Evaluator rating,Medium,MSR TableQA 2024,Perform structure-aware table OCR; align headers to cells before extraction. Require explicit cell coordinates and show the cell path in the answer.,True,High,Benchmark evaluation,Validated,0.41,TableQAEval v1
040,2025-10-16,Tool Use,Time Tool Omission,What's the local time now in Tokyo if it's 3pm in London?,Answered without converting time zones; returned '3pm'.,"The time tool was not invoked even though the query is explicitly zoned. Without timezone normalisation, the model mirrors the input and fails to convert.",Tool decision boundary miss; missing timezone normaliser.,GPT-3.5,Transformer LLM,Retrieval layer,0.62,Evaluator rating,Medium,OpenAI System Card 2024,Hard-route time queries to the time tool; echo both source and target zones and show the conversion calculation.,True,Medium,User feedback,Mitigated,0.51,TimeEval v1
041,2025-10-16,Context,Cross-Thread Contamination,Continue the SEO plan for the garden tools client only.,Mixed in details from a previous chat about electronics.,"Caching and embedding similarities caused retrieval of neighbouring thread chunks. The model blended entities due to weak session isolation, producing a hybrid plan.",Session isolation failure; high-similarity chunk bleed across indices.,Claude 3 Opus,Transformer LLM,Context layer,0.58,Evaluator rating,High,OpenAI Technical Report 2024,Isolate session indices strictly; add conversation IDs to retrieval filters and penalise cross-thread entities in re-ranking.,True,High,User feedback,Mitigated,0.55,SessionGuard Eval v1
042,2025-10-16,Multimodal,Incorrect Alt-Text,Generate alt-text for a photo of a ramp at a building entrance.,"Described 'stairs' instead of 'ramp', harming accessibility.",Angle and shadows made the ramp look like steps; the model defaulted to the most common access feature. Accessibility impact is high because assistive tech relies on accurate alt-text.,Failure to model perspective and slope; priors override rare accessibility features.,Gemini 1.5 Pro,Multimodal Transformer,Perception layer,0.70,Evaluator rating,High,Accessibility Eval 2024,"Add a slope-detection heuristic and require uncertainty hedging when features are occluded. Prefer neutral descriptors when unsure (e.g., 'inclined entrance').",True,High,Red team probe,Mitigated,0.47,AltText Eval v1
043,2025-10-16,Tool Use,FX Rate Staleness,"Convert 1,200 GBP to EUR at today's rate and cite the source.",Returned a plausible amount but no source and likely stale rate.,"The tool-policy allowed answering from memory for a volatile metric. Without live lookup and timestamp, users get misleading values.",Volatility not encoded in tool routing; missing cite-and-timestamp rule.,Mistral Large,Transformer LLM,Retrieval layer,0.70,Evaluator rating,High,Public Incident Summaries,"Force live FX lookup; include rate, timestamp, and source domain. If offline, provide a range and recommend checking an official source.",True,High,Auto QA,Mitigated,0.49,FXEval v2
044,2025-10-16,Context,Reference Link Drop,Use 'the link I shared above' to pull the spec sheet.,Ignored the link and quoted from memory.,The system failed to index hyperlinks as retrievable artifacts; link anchors were not bound to the retrieval policy. The model then hallucinated specs based on brand priors.,No hyperlink-to-retrieval binding; reliance on brand priors.,GPT-4,Transformer LLM,Retrieval layer,0.64,Evaluator rating,High,HELM Notes 2024,"Capture and index links; when a user references 'the link above', prioritise that URL in retrieval and echo it back before answering.",True,High,Manual review,Mitigated,0.46,LinkGround Eval v1
045,2025-10-16,Multimodal,Audio Transcription Overlap,Transcribe a 2-speaker meeting recording with timestamps.,Merged overlapping speech and attributed to one speaker.,"The diarisation model under-segmented speakers during overlap, and the language head smoothed conflicts into a single transcript. Loss of speaker turns harms action items and attribution.",Speaker diarisation failure under overlap; weak confidence gating between ASR and text.,GPT-4o,Multimodal Transformer,Perception layer,0.68,Evaluator rating,Medium,Meeting ASR Eval 2024,Introduce overlap-aware diarisation; attach per-segment confidence and keep uncertain segments unmerged. Offer a revision pass highlighting ambiguous spans.,True,High,Benchmark evaluation,Validated,0.42,ASREval v2
046,2025-10-16,Tool Use,Sports Tool Bypass,Did Arsenal win last night? Include final score and scorer list.,Provided a generic season summary without the match result.,"Despite clear cues for a live result, the decision policy favoured a fluent generic answer. Without mandatory sports-tool routing, answers lack scores and scorers.",Tool routing miss for live sports; generic-answer bias.,Qwen 2 72B,Transformer LLM,Retrieval layer,0.69,Evaluator rating,High,OpenAI System Card 2024,"Hard-route to sports tool for 'last night/today' patterns; require final scoreline, date, and scorer list with source.",True,High,Auto QA,Mitigated,0.47,SportsEval v1
047,2025-10-16,Context,Instruction Drift Over Turns,Keep bullet lists under 6 items and no emojis for this thread.,Later response produced 9 bullets and added emojis.,Long-turn dialogues degrade instruction adherence without persistent constraint reminders. The decoder reverted to default stylistic habits after several turns.,Constraint memory decay; missing turn-level rule reinforcement.,Claude 3.5 Sonnet,Transformer LLM,Formatter,0.72,Evaluator rating,Low,OpenAI UX Notes 2024,Attach live constraints to the session state and render them in the system preamble every N turns. Add a post-filter that trims bullets and strips emojis.,True,High,User feedback,Mitigated,0.34,StyleGuard Eval v1
048,2025-10-16,Multimodal,Figure-Caption Mismatch,Generate a caption that matches the uploaded figure (bar chart: 2022–2025).,Caption referenced 2021 and labelled the tallest bar as 2023.,"Year labels were misread due to small tick fonts; the decoder hallucinated a familiar year. Without a numeric verification pass, captions drift from the figure semantics.",Tick-OCR failure; lack of numeric verification; prior-year bias.,Gemini 1.5 Pro,Multimodal Transformer,Reasoning layer,0.71,Evaluator rating,Medium,MSR Visual Eval 2024,"Perform tick-aware OCR and validate numeric mentions against extracted labels. If confidence is low, output a neutral caption that avoids specific years.",True,High,Benchmark evaluation,Validated,0.41,CaptionEval v1
049,2025-10-16,Tool Use,PDF Table Extraction Failure,Extract the 'Net Profit' row from the attached PDF’s table 4 and sum Q1–Q4.,Summed the 'Gross Profit' row instead and missed Q4 due to page break.,The extractor lost header context across the page break and defaulted to the nearest numeric row. Table-structure awareness was insufficient for multi-page continuity.,Header carryover lost across pages; page-break-aware table parsing missing.,GPT-4,Transformer LLM,Retrieval layer,0.72,Evaluator rating,High,PDF Table Eval 2024,Use structure-aware PDF parsing that keeps header state across pages; require row ID and page references in the output for auditability.,True,High,Auto QA,Mitigated,0.45,PDFTabEval v1
050,2025-10-16,Context,Ambiguous Reference Handling,Answer: 'Is it open today?' after a prior link to a café and a museum.,Answered about the museum; the user meant the café.,Ambiguity across multiple prior entities was not resolved with a clarifying question. The model chose the most recently mentioned entity instead of confirming intent.,Ambiguity not detected; missing clarification policy under multi-entity context.,Mistral Large,Transformer LLM,Reasoning layer,0.65,Evaluator rating,Medium,HELM Notes 2024,"Detect multi-entity ambiguity and ask a 1-line clarifying question before answering. If forced to answer, present both entities with separate opening hours and sources.",True,High,User feedback,Mitigated,0.44,AmbigEval v1
